Date,Region,Province,PrizeName,WinningNumbers
25-11-2023,Miền Bắc,XSMB,Đặc biệt,8816
25-11-2023,Miền Bắc,XSMB,Giải nhất,27324
25-11-2023,Miền Bắc,XSMB,Giải nhì,11953
25-11-2023,Miền Bắc,XSMB,Giải nhì,24697
25-11-2023,Miền Bắc,XSMB,Giải ba,69110
25-11-2023,Miền Bắc,XSMB,Giải ba,4565
25-11-2023,Miền Bắc,XSMB,Giải ba,34068
25-11-2023,Miền Bắc,XSMB,Giải ba,51050
25-11-2023,Miền Bắc,XSMB,Giải ba,1507
25-11-2023,Miền Bắc,XSMB,Giải ba,34991
25-11-2023,Miền Bắc,XSMB,Giải tư,6108
25-11-2023,Miền Bắc,XSMB,Giải tư,5491
25-11-2023,Miền Bắc,XSMB,Giải tư,7718
25-11-2023,Miền Bắc,XSMB,Giải tư,6815
25-11-2023,Miền Bắc,XSMB,Giải năm,369
25-11-2023,Miền Bắc,XSMB,Giải năm,9606
25-11-2023,Miền Bắc,XSMB,Giải năm,8760
25-11-2023,Miền Bắc,XSMB,Giải năm,7104
25-11-2023,Miền Bắc,XSMB,Giải năm,5179
25-11-2023,Miền Bắc,XSMB,Giải năm,112
25-11-2023,Miền Bắc,XSMB,Giải sáu,833
25-11-2023,Miền Bắc,XSMB,Giải sáu,331
25-11-2023,Miền Bắc,XSMB,Giải sáu,214
25-11-2023,Miền Bắc,XSMB,Giải bảy,44
25-11-2023,Miền Bắc,XSMB,Giải bảy,73
25-11-2023,Miền Bắc,XSMB,Giải bảy,63
25-11-2023,Miền Bắc,XSMB,Giải bảy,26
25-11-2023,Miền Nam,Hồ Chí Minh,Giải tám,61
25-11-2023,Miền Nam,Hồ Chí Minh,Giải bảy,149
25-11-2023,Miền Nam,Hồ Chí Minh,Giải sáu,232
25-11-2023,Miền Nam,Hồ Chí Minh,Giải sáu,3443
25-11-2023,Miền Nam,Hồ Chí Minh,Giải sáu,2249
25-11-2023,Miền Nam,Hồ Chí Minh,Giải năm,7568
25-11-2023,Miền Nam,Hồ Chí Minh,Giải tư,76824
25-11-2023,Miền Nam,Hồ Chí Minh,Giải tư,71064
25-11-2023,Miền Nam,Hồ Chí Minh,Giải tư,93727
25-11-2023,Miền Nam,Hồ Chí Minh,Giải tư,10347
25-11-2023,Miền Nam,Hồ Chí Minh,Giải tư,69934
25-11-2023,Miền Nam,Hồ Chí Minh,Giải tư,18623
25-11-2023,Miền Nam,Hồ Chí Minh,Giải tư,22968
25-11-2023,Miền Nam,Hồ Chí Minh,Giải ba,54044
25-11-2023,Miền Nam,Hồ Chí Minh,Giải ba,39837
25-11-2023,Miền Nam,Hồ Chí Minh,Giải nhì,71726
25-11-2023,Miền Nam,Hồ Chí Minh,Giải nhất,36162
25-11-2023,Miền Nam,Hồ Chí Minh,Đặc biệt,187173
25-11-2023,Miền Nam,Long An,Giải tám,39
25-11-2023,Miền Nam,Long An,Giải bảy,27
25-11-2023,Miền Nam,Long An,Giải sáu,4916
25-11-2023,Miền Nam,Long An,Giải sáu,1920
25-11-2023,Miền Nam,Long An,Giải sáu,3575
25-11-2023,Miền Nam,Long An,Giải năm,1502
25-11-2023,Miền Nam,Long An,Giải tư,99950
25-11-2023,Miền Nam,Long An,Giải tư,61585
25-11-2023,Miền Nam,Long An,Giải tư,37210
25-11-2023,Miền Nam,Long An,Giải tư,71366
25-11-2023,Miền Nam,Long An,Giải tư,76707
25-11-2023,Miền Nam,Long An,Giải tư,57408
25-11-2023,Miền Nam,Long An,Giải tư,88769
25-11-2023,Miền Nam,Long An,Giải ba,16935
25-11-2023,Miền Nam,Long An,Giải ba,54079
25-11-2023,Miền Nam,Long An,Giải nhì,26503
25-11-2023,Miền Nam,Long An,Giải nhất,12463
25-11-2023,Miền Nam,Long An,Đặc biệt,736932
25-11-2023,Miền Nam,Bình Phước,Giải tám,65
25-11-2023,Miền Nam,Bình Phước,Giải bảy,869
25-11-2023,Miền Nam,Bình Phước,Giải sáu,9829
25-11-2023,Miền Nam,Bình Phước,Giải sáu,7846
25-11-2023,Miền Nam,Bình Phước,Giải sáu,642
25-11-2023,Miền Nam,Bình Phước,Giải năm,6315
25-11-2023,Miền Nam,Bình Phước,Giải tư,50182
25-11-2023,Miền Nam,Bình Phước,Giải tư,55405
25-11-2023,Miền Nam,Bình Phước,Giải tư,27938
25-11-2023,Miền Nam,Bình Phước,Giải tư,21191
25-11-2023,Miền Nam,Bình Phước,Giải tư,68878
25-11-2023,Miền Nam,Bình Phước,Giải tư,92633
25-11-2023,Miền Nam,Bình Phước,Giải tư,33117
25-11-2023,Miền Nam,Bình Phước,Giải ba,93696
25-11-2023,Miền Nam,Bình Phước,Giải ba,77713
25-11-2023,Miền Nam,Bình Phước,Giải nhì,9340
25-11-2023,Miền Nam,Bình Phước,Giải nhất,65906
25-11-2023,Miền Nam,Bình Phước,Đặc biệt,504117
25-11-2023,Miền Nam,Hậu Giang,Giải tám,86
25-11-2023,Miền Nam,Hậu Giang,Giải bảy,742
25-11-2023,Miền Nam,Hậu Giang,Giải sáu,4911
25-11-2023,Miền Nam,Hậu Giang,Giải sáu,8716
25-11-2023,Miền Nam,Hậu Giang,Giải sáu,3783
25-11-2023,Miền Nam,Hậu Giang,Giải năm,2356
25-11-2023,Miền Nam,Hậu Giang,Giải tư,2967
25-11-2023,Miền Nam,Hậu Giang,Giải tư,61124
25-11-2023,Miền Nam,Hậu Giang,Giải tư,63056
25-11-2023,Miền Nam,Hậu Giang,Giải tư,85232
25-11-2023,Miền Nam,Hậu Giang,Giải tư,31986
25-11-2023,Miền Nam,Hậu Giang,Giải tư,67751
25-11-2023,Miền Nam,Hậu Giang,Giải tư,18981
25-11-2023,Miền Nam,Hậu Giang,Giải ba,19573
25-11-2023,Miền Nam,Hậu Giang,Giải ba,99480
25-11-2023,Miền Nam,Hậu Giang,Giải nhì,12052
25-11-2023,Miền Nam,Hậu Giang,Giải nhất,68306
25-11-2023,Miền Nam,Hậu Giang,Đặc biệt,58823
25-11-2023,Miền Trung,Đà Nẵng,Giải tám,55
25-11-2023,Miền Trung,Đà Nẵng,Giải bảy,52
25-11-2023,Miền Trung,Đà Nẵng,Giải sáu,4437
25-11-2023,Miền Trung,Đà Nẵng,Giải sáu,7712
25-11-2023,Miền Trung,Đà Nẵng,Giải sáu,4142
25-11-2023,Miền Trung,Đà Nẵng,Giải năm,4905
25-11-2023,Miền Trung,Đà Nẵng,Giải tư,5416
25-11-2023,Miền Trung,Đà Nẵng,Giải tư,77484
25-11-2023,Miền Trung,Đà Nẵng,Giải tư,67109
25-11-2023,Miền Trung,Đà Nẵng,Giải tư,26478
25-11-2023,Miền Trung,Đà Nẵng,Giải tư,94374
25-11-2023,Miền Trung,Đà Nẵng,Giải tư,97592
25-11-2023,Miền Trung,Đà Nẵng,Giải tư,99399
25-11-2023,Miền Trung,Đà Nẵng,Giải ba,6928
25-11-2023,Miền Trung,Đà Nẵng,Giải ba,10013
25-11-2023,Miền Trung,Đà Nẵng,Giải nhì,47874
25-11-2023,Miền Trung,Đà Nẵng,Giải nhất,1865
25-11-2023,Miền Trung,Đà Nẵng,Đặc biệt,908857
25-11-2023,Miền Trung,Quảng Ngãi,Giải tám,50
25-11-2023,Miền Trung,Quảng Ngãi,Giải bảy,628
25-11-2023,Miền Trung,Quảng Ngãi,Giải sáu,4182
25-11-2023,Miền Trung,Quảng Ngãi,Giải sáu,2498
25-11-2023,Miền Trung,Quảng Ngãi,Giải sáu,498
25-11-2023,Miền Trung,Quảng Ngãi,Giải năm,4196
25-11-2023,Miền Trung,Quảng Ngãi,Giải tư,63672
25-11-2023,Miền Trung,Quảng Ngãi,Giải tư,47936
25-11-2023,Miền Trung,Quảng Ngãi,Giải tư,47235
25-11-2023,Miền Trung,Quảng Ngãi,Giải tư,7275
25-11-2023,Miền Trung,Quảng Ngãi,Giải tư,76758
25-11-2023,Miền Trung,Quảng Ngãi,Giải tư,90464
25-11-2023,Miền Trung,Quảng Ngãi,Giải tư,40542
25-11-2023,Miền Trung,Quảng Ngãi,Giải ba,65037
25-11-2023,Miền Trung,Quảng Ngãi,Giải ba,92713
25-11-2023,Miền Trung,Quảng Ngãi,Giải nhì,78898
25-11-2023,Miền Trung,Quảng Ngãi,Giải nhất,51531
25-11-2023,Miền Trung,Quảng Ngãi,Đặc biệt,815234
25-11-2023,Miền Trung,Đắk Nông,Giải tám,63
25-11-2023,Miền Trung,Đắk Nông,Giải bảy,639
25-11-2023,Miền Trung,Đắk Nông,Giải sáu,2557
25-11-2023,Miền Trung,Đắk Nông,Giải sáu,823
25-11-2023,Miền Trung,Đắk Nông,Giải sáu,8837
25-11-2023,Miền Trung,Đắk Nông,Giải năm,192
25-11-2023,Miền Trung,Đắk Nông,Giải tư,61246
25-11-2023,Miền Trung,Đắk Nông,Giải tư,90007
25-11-2023,Miền Trung,Đắk Nông,Giải tư,44551
25-11-2023,Miền Trung,Đắk Nông,Giải tư,94906
25-11-2023,Miền Trung,Đắk Nông,Giải tư,32493
25-11-2023,Miền Trung,Đắk Nông,Giải tư,20478
25-11-2023,Miền Trung,Đắk Nông,Giải tư,15337
25-11-2023,Miền Trung,Đắk Nông,Giải ba,95322
25-11-2023,Miền Trung,Đắk Nông,Giải ba,8648
25-11-2023,Miền Trung,Đắk Nông,Giải nhì,34250
25-11-2023,Miền Trung,Đắk Nông,Giải nhất,2951
25-11-2023,Miền Trung,Đắk Nông,Đặc biệt,721110
﻿26-11-2023,Miền Bắc,XSMB,Đặc biệt,11873
26-11-2023,Miền Bắc,XSMB,Giải nhất,79812
26-11-2023,Miền Bắc,XSMB,Giải nhì,47282
26-11-2023,Miền Bắc,XSMB,Giải nhì,88599
26-11-2023,Miền Bắc,XSMB,Giải ba,70943
26-11-2023,Miền Bắc,XSMB,Giải ba,22982
26-11-2023,Miền Bắc,XSMB,Giải ba,59952
26-11-2023,Miền Bắc,XSMB,Giải ba,37117
26-11-2023,Miền Bắc,XSMB,Giải ba,45252
26-11-2023,Miền Bắc,XSMB,Giải ba,21860
26-11-2023,Miền Bắc,XSMB,Giải tư,1123
26-11-2023,Miền Bắc,XSMB,Giải tư,4002
26-11-2023,Miền Bắc,XSMB,Giải tư,3496
26-11-2023,Miền Bắc,XSMB,Giải tư,2068
26-11-2023,Miền Bắc,XSMB,Giải năm,4388
26-11-2023,Miền Bắc,XSMB,Giải năm,945
26-11-2023,Miền Bắc,XSMB,Giải năm,3653
26-11-2023,Miền Bắc,XSMB,Giải năm,5957
26-11-2023,Miền Bắc,XSMB,Giải năm,2143
26-11-2023,Miền Bắc,XSMB,Giải năm,9067
26-11-2023,Miền Bắc,XSMB,Giải sáu,706
26-11-2023,Miền Bắc,XSMB,Giải sáu,799
26-11-2023,Miền Bắc,XSMB,Giải sáu,886
26-11-2023,Miền Bắc,XSMB,Giải bảy,20
26-11-2023,Miền Bắc,XSMB,Giải bảy,53
26-11-2023,Miền Bắc,XSMB,Giải bảy,7
26-11-2023,Miền Bắc,XSMB,Giải bảy,84
26-11-2023,Miền Nam,Tiền Giang,Giải tám,32
26-11-2023,Miền Nam,Tiền Giang,Giải bảy,899
26-11-2023,Miền Nam,Tiền Giang,Giải sáu,5122
26-11-2023,Miền Nam,Tiền Giang,Giải sáu,4462
26-11-2023,Miền Nam,Tiền Giang,Giải sáu,3006
26-11-2023,Miền Nam,Tiền Giang,Giải năm,7880
26-11-2023,Miền Nam,Tiền Giang,Giải tư,46319
26-11-2023,Miền Nam,Tiền Giang,Giải tư,59702
26-11-2023,Miền Nam,Tiền Giang,Giải tư,87558
26-11-2023,Miền Nam,Tiền Giang,Giải tư,30012
26-11-2023,Miền Nam,Tiền Giang,Giải tư,14855
26-11-2023,Miền Nam,Tiền Giang,Giải tư,49265
26-11-2023,Miền Nam,Tiền Giang,Giải tư,32050
26-11-2023,Miền Nam,Tiền Giang,Giải ba,89145
26-11-2023,Miền Nam,Tiền Giang,Giải ba,87309
26-11-2023,Miền Nam,Tiền Giang,Giải nhì,4196
26-11-2023,Miền Nam,Tiền Giang,Giải nhất,76685
26-11-2023,Miền Nam,Tiền Giang,Đặc biệt,94895
26-11-2023,Miền Nam,Kiên Giang,Giải tám,47
26-11-2023,Miền Nam,Kiên Giang,Giải bảy,30
26-11-2023,Miền Nam,Kiên Giang,Giải sáu,406
26-11-2023,Miền Nam,Kiên Giang,Giải sáu,2474
26-11-2023,Miền Nam,Kiên Giang,Giải sáu,2151
26-11-2023,Miền Nam,Kiên Giang,Giải năm,3214
26-11-2023,Miền Nam,Kiên Giang,Giải tư,5458
26-11-2023,Miền Nam,Kiên Giang,Giải tư,92996
26-11-2023,Miền Nam,Kiên Giang,Giải tư,93827
26-11-2023,Miền Nam,Kiên Giang,Giải tư,15486
26-11-2023,Miền Nam,Kiên Giang,Giải tư,92794
26-11-2023,Miền Nam,Kiên Giang,Giải tư,1480
26-11-2023,Miền Nam,Kiên Giang,Giải tư,23918
26-11-2023,Miền Nam,Kiên Giang,Giải ba,56374
26-11-2023,Miền Nam,Kiên Giang,Giải ba,51675
26-11-2023,Miền Nam,Kiên Giang,Giải nhì,7395
26-11-2023,Miền Nam,Kiên Giang,Giải nhất,69552
26-11-2023,Miền Nam,Kiên Giang,Đặc biệt,350037
26-11-2023,Miền Nam,Đà Lạt,Giải tám,59
26-11-2023,Miền Nam,Đà Lạt,Giải bảy,928
26-11-2023,Miền Nam,Đà Lạt,Giải sáu,192
26-11-2023,Miền Nam,Đà Lạt,Giải sáu,4876
26-11-2023,Miền Nam,Đà Lạt,Giải sáu,8580
26-11-2023,Miền Nam,Đà Lạt,Giải năm,7060
26-11-2023,Miền Nam,Đà Lạt,Giải tư,26541
26-11-2023,Miền Nam,Đà Lạt,Giải tư,64107
26-11-2023,Miền Nam,Đà Lạt,Giải tư,43663
26-11-2023,Miền Nam,Đà Lạt,Giải tư,72137
26-11-2023,Miền Nam,Đà Lạt,Giải tư,50015
26-11-2023,Miền Nam,Đà Lạt,Giải tư,74549
26-11-2023,Miền Nam,Đà Lạt,Giải tư,8629
26-11-2023,Miền Nam,Đà Lạt,Giải ba,64079
26-11-2023,Miền Nam,Đà Lạt,Giải ba,13632
26-11-2023,Miền Nam,Đà Lạt,Giải nhì,98188
26-11-2023,Miền Nam,Đà Lạt,Giải nhất,89911
26-11-2023,Miền Nam,Đà Lạt,Đặc biệt,620552
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải tám,22
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải bảy,529
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải sáu,6405
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải sáu,3391
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải sáu,7400
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải năm,9317
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải tư,69324
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải tư,16619
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải tư,83289
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải tư,65265
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải tư,56258
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải tư,74251
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải tư,19995
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải ba,86580
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải ba,81829
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải nhì,57747
26-11-2023,Miền Trung,Thừa Thiên Huế,Giải nhất,57684
26-11-2023,Miền Trung,Thừa Thiên Huế,Đặc biệt,761434
26-11-2023,Miền Trung,Khánh Hòa,Giải tám,97
26-11-2023,Miền Trung,Khánh Hòa,Giải bảy,798
26-11-2023,Miền Trung,Khánh Hòa,Giải sáu,9142
26-11-2023,Miền Trung,Khánh Hòa,Giải sáu,4572
26-11-2023,Miền Trung,Khánh Hòa,Giải sáu,3302
26-11-2023,Miền Trung,Khánh Hòa,Giải năm,9753
26-11-2023,Miền Trung,Khánh Hòa,Giải tư,72881
26-11-2023,Miền Trung,Khánh Hòa,Giải tư,4921
26-11-2023,Miền Trung,Khánh Hòa,Giải tư,61845
26-11-2023,Miền Trung,Khánh Hòa,Giải tư,38223
26-11-2023,Miền Trung,Khánh Hòa,Giải tư,70886
26-11-2023,Miền Trung,Khánh Hòa,Giải tư,99650
26-11-2023,Miền Trung,Khánh Hòa,Giải tư,62942
26-11-2023,Miền Trung,Khánh Hòa,Giải ba,91613
26-11-2023,Miền Trung,Khánh Hòa,Giải ba,33658
